iter	Passed	Remaining
0	0	68
1	1	56
2	1	62
3	2	55
4	2	50
5	3	47
6	3	44
7	4	47
8	4	45
9	4	43
10	5	41
11	5	41
12	6	41
13	6	40
14	6	38
15	7	41
16	8	40
17	8	38
18	8	37
19	9	36
20	9	35
21	9	34
22	10	33
23	10	32
24	10	31
25	10	31
26	11	30
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	25
34	13	25
35	13	24
36	14	24
37	14	23
38	14	23
39	15	23
40	15	22
41	15	21
42	16	21
43	16	20
44	17	20
45	17	20
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	23	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	26	7
78	26	7
79	27	6
80	27	6
81	27	6
82	28	5
83	28	5
84	28	5
85	29	4
86	29	4
87	29	4
88	30	3
89	30	3
90	30	3
91	31	2
92	31	2
93	31	2
94	31	1
95	32	1
96	32	1
97	32	0
98	33	0
99	33	0
